,count,unique,top,freq,mean,min,25%,50%,75%,max,std
subject_id,1054.0,,,,10018065.45540797,10000032.0,10009404.5,10015860.0,10023239.0,10040025.0,11927.083452552184
stay_id,1054.0,,,,35276340.663187854,30094124.0,32287800.0,35289067.0,38020791.0,39968716.0,2984086.91524744
temperature_x,944.0,,,,97.99682203389831,36.5,97.7,98.1,98.5,100.3,2.963315915554444
heartrate_x,950.0,,,,91.0357894736842,43.0,77.0,90.0,104.0,157.0,19.812364904696576
resprate_x,952.0,,,,18.08613445378151,14.0,16.0,18.0,18.0,32.0,2.9261748833124592
o2sat_x,946.0,,,,97.82029598308668,78.0,97.0,98.0,100.0,100.0,2.53472190790163
sbp_x,952.0,,,,135.72268907563026,70.0,115.75,136.0,154.0,218.0,27.486863125796688
dbp_x,952.0,,,,74.55672268907563,42.0,62.0,71.0,82.0,879.0,40.38103136349794
pain_x,993,18,0,343,,,,,,,
acuity,1054.0,,,,2.2533206831119545,1.0,2.0,2.0,3.0,4.0,0.65615891226691
chiefcomplaint,1054,182,Chest pain,48,,,,,,,
charttime,1038,1038,2147-12-30 08:40:00,1,,,,,,,
temperature_y,1038.0,,,,95.98225433526012,31.4,98.0,98.1,98.1,104.9,11.665876419595577
heartrate_y,1038.0,,,,86.27745664739885,47.0,72.0,84.0,98.0,179.0,19.01291477244381
resprate_y,1038.0,,,,18.14547206165703,8.0,16.0,18.0,19.0,40.0,3.4202631926971656
o2sat_y,1038.0,,,,97.87957610789981,10.0,97.0,98.0,100.0,100.0,3.378693666276599
sbp_y,1038.0,,,,126.86897880539499,11.0,112.25,125.0,140.0,200.0,23.20817244408408
dbp_y,1038.0,,,,68.873795761079,32.0,58.0,69.0,79.0,184.0,15.099939242749187
rhythm,33,8,Sinus Rhythm,9,,,,,,,
pain_y,736,38,0,355,,,,,,,
num_prior_cond,1054.0,,,,22.461100569259962,0.0,8.0,16.0,33.0,52.0,18.265736691118374
num_home_meds,1054.0,,,,167.79506641366223,0.0,12.0,59.0,191.0,764.0,248.10635477649382
er_meds_given,1054.0,,,,6.7362428842504745,0.0,2.0,5.0,10.0,34.0,6.693299758277049
hadm_id,917.0,,,,25320478.60087241,20093566.0,22589518.0,25864431.0,27738145.0,29974575.0,2879172.5508461287
intime,1054,,,,2158-06-07 19:11:09.222011904,2112-09-17 18:46:00,2141-01-15 19:19:15.000000512,2150-02-04 14:50:00,2177-11-24 14:14:00,2201-10-30 10:48:00,
outtime,1054,222,2147-06-04 00:45:19,22,,,,,,,
gender,1054,2,F,551,,,,,,,
race,1054,12,WHITE,641,,,,,,,
arrival_transport,1054,4,AMBULANCE,674,,,,,,,
disposition,1054,7,ADMITTED,760,,,,,,,
temperature,1043.0,,,,95.99010546500479,31.4,98.0,98.1,98.1,104.9,11.638461961181987
heartrate,1044.0,,,,86.22701149425288,47.0,72.0,84.0,98.0,179.0,18.990414857200292
resprate,1044.0,,,,18.155172413793103,8.0,16.0,18.0,20.0,40.0,3.4185302484270714
o2sat,1044.0,,,,97.87164750957854,10.0,97.0,98.0,100.0,100.0,3.378177211397373
sbp,1044.0,,,,127.04980842911877,11.0,113.0,125.0,141.0,200.0,23.281334310736764
dbp,1044.0,,,,68.88218390804597,32.0,58.0,69.0,79.0,184.0,15.077826500703653
pain,1037,39,0,446,,,,,,,
arrival_hour,1054.0,,,,14.679316888045541,0.0,12.0,16.0,19.0,23.0,5.645562268019806
arrival_day,1054.0,,,,3.4098671726755216,0.0,2.0,4.0,5.0,6.0,1.9868841974933968
